HomeTeam,GuestTeam,GoalsHomeTeam,GoalsGuestTeam
Austria Vienna,Mattersburg,2,2
Wolfsberger AC,Grodig,2,0
Admira,Ried,0,0
Salzburg,Altach,2,0
Sturm Graz,Rapid Vienna,0,2
Ried,Sturm Graz,0,1
Altach,Admira,1,2
Mattersburg,Wolfsberger AC,1,1
Rapid Vienna,Grodig,3,2
Salzburg,Austria Vienna,4,1
Wolfsberger AC,Altach,1,0
Admira,Austria Vienna,0,3
Grodig,Ried,2,2
Rapid Vienna,Mattersburg,3,0
Sturm Graz,Salzburg,0,0
Salzburg,Grodig,3,0
Admira,Wolfsberger AC,0,2
Austria Vienna,Ried,3,1
Mattersburg,Sturm Graz,1,0
Altach,Rapid Vienna,0,0
Wolfsberger AC,Salzburg,1,1
Grodig,Mattersburg,0,1
Rapid Vienna,Admira,0,4
Ried,Altach,0,2
Sturm Graz,Austria Vienna,1,1
Austria Vienna,Wolfsberger AC,0,0
Admira,Sturm Graz,1,0
Altach,Grodig,1,0
Salzburg,Mattersburg,2,1
Ried,Rapid Vienna,1,0
Grodig,Sturm Graz,1,3
Wolfsberger AC,Ried,1,0
Altach,Austria Vienna,2,0
Mattersburg,Admira,0,3
Rapid Vienna,Salzburg,1,1
Sturm Graz,Altach,4,1
Wolfsberger AC,Rapid Vienna,2,2
Austria Vienna,Grodig,0,2
Ried,Mattersburg,1,0
Salzburg,Admira,1,0
Salzburg,Ried,2,1
Admira,Grodig,1,1
Mattersburg,Altach,0,0
Sturm Graz,Wolfsberger AC,1,0
Rapid Vienna,Austria Vienna,1,0
Mattersburg,Austria Vienna,0,9
Altach,Salzburg,1,3
Grodig,Wolfsberger AC,0,1
Ried,Admira,1,0
Rapid Vienna,Sturm Graz,2,0
Grodig,Rapid Vienna,2,0
Wolfsberger AC,Mattersburg,2,0
Admira,Altach,2,1
Sturm Graz,Ried,0,0
Austria Vienna,Salzburg,0,2
Austria Vienna,Admira,3,1
Altach,Wolfsberger AC,1,1
Ried,Grodig,2,0
Salzburg,Sturm Graz,1,1
Mattersburg,Rapid Vienna,0,2
Wolfsberger AC,Admira,1,2
Grodig,Salzburg,1,2
Rapid Vienna,Altach,1,1
Ried,Austria Vienna,0,5
Sturm Graz,Mattersburg,1,1
Admira,Rapid Vienna,1,3
Altach,Ried,0,0
Austria Vienna,Sturm Graz,3,0
Mattersburg,Grodig,2,3
Salzburg,Wolfsberger AC,1,0
Rapid Vienna,Ried,5,0
Altach,Wolfsberger AC,1,0
Sturm Graz,Salzburg,3,1
St. Polten,Austria Vienna,1,2
Mattersburg,Admira,0,1
Salzburg,Wolfsberger AC,1,1
Ried,Sturm Graz,1,0
Altach,Rapid Vienna,1,0
Austria Vienna,Mattersburg,3,1
St. Polten,Admira,2,1
Mattersburg,Sturm Graz,0,2
Wolfsberger AC,Ried,1,0
Admira,Altach,1,2
Salzburg,St. Polten,2,0
Austria Vienna,Rapid Vienna,1,4
Ried,Salzburg,0,2
Altach,St. Polten,3,1
Mattersburg,Wolfsberger AC,3,1
Rapid Vienna,Admira,4,0
Sturm Graz,Austria Vienna,3,1
St. Polten,Sturm Graz,1,3
Admira,Ried,1,0
Salzburg,Mattersburg,3,1
Wolfsberger AC,Rapid Vienna,1,1
Austria Vienna,Altach,3,1
Sturm Graz,Altach,3,1
Wolfsberger AC,Admira,5,0
Mattersburg,St. Polten,1,1
Rapid Vienna,Salzburg,0,0
Ried,Austria Vienna,1,1
Sturm Graz,Rapid Vienna,1,1
Altach,Mattersburg,2,1
Austria Vienna,Wolfsberger AC,4,1
St. Polten,Ried,2,3
Admira,Salzburg,0,4
Ried,Altach,2,1
Wolfsberger AC,St. Polten,1,1
Admira,Sturm Graz,0,3
Salzburg,Austria Vienna,4,1
Rapid Vienna,Mattersburg,3,0
St. Polten,Rapid Vienna,1,1
Austria Vienna,Admira,1,2
Mattersburg,Ried,1,1
Sturm Graz,Wolfsberger AC,3,0
Altach,Salzburg,0,0
Wolfsberger AC,Altach,1,2
Admira,Mattersburg,1,0
Ried,Rapid Vienna,4,2
Salzburg,Sturm Graz,0,1
Austria Vienna,St. Polten,2,1
Wolfsberger AC,Salzburg,2,2
Admira,St. Polten,1,1
Rapid Vienna,Altach,1,1
Sturm Graz,Ried,1,0
Mattersburg,Austria Vienna,0,2
Sturm Graz,Mattersburg,2,2
Altach,Admira,2,0
Ried,Wolfsberger AC,0,1
St. Polten,Salzburg,1,5
Rapid Vienna,Austria Vienna,0,2
Admira,Rapid Vienna,1,2
Wolfsberger AC,Mattersburg,3,0
Salzburg,Ried,1,0
St. Polten,Altach,0,1
Austria Vienna,Sturm Graz,2,0
Sturm Graz,St. Polten,1,2
Ried,Admira,2,1
Rapid Vienna,Wolfsberger AC,0,1
Altach,Austria Vienna,5,1
Mattersburg,Salzburg,2,1
Altach,Sturm Graz,1,1
Admira,Wolfsberger AC,4,1
Austria Vienna,Ried,2,0
St. Polten,Mattersburg,2,2
Salzburg,Rapid Vienna,2,1
Ried,St. Polten,1,2
Mattersburg,Altach,1,2
Wolfsberger AC,Austria Vienna,0,3
Rapid Vienna,Sturm Graz,1,2
Salzburg,Admira,0,1
Altach,Ried,1,0
Austria Vienna,Salzburg,1,3
Mattersburg,Rapid Vienna,1,1
St. Polten,Wolfsberger AC,0,4
Sturm Graz,Admira,0,2
Rapid Vienna,St. Polten,1,0
Admira,Austria Vienna,0,2
Ried,Mattersburg,2,1
Salzburg,Altach,4,1
Wolfsberger AC,Sturm Graz,0,4
Altach,Wolfsberger AC,2,1
Mattersburg,Admira,2,0
Rapid Vienna,Ried,3,1
Sturm Graz,Salzburg,0,1
St. Polten,Austria Vienna,2,1
Ried,Sturm Graz,0,3
Austria Vienna,Mattersburg,2,0
Salzburg,Wolfsberger AC,3,0
St. Polten,Admira,2,2
Altach,Rapid Vienna,3,1
Admira,Altach,1,1
Wolfsberger AC,Ried,1,0
Mattersburg,Sturm Graz,1,0
Salzburg,St. Polten,2,0
Austria Vienna,Rapid Vienna,1,1
Sturm Graz,Austria Vienna,0,4
Altach,St. Polten,1,2
Mattersburg,Wolfsberger AC,2,1
Rapid Vienna,Admira,0,0
Ried,Salzburg,1,6
Wolfsberger AC,Rapid Vienna,2,1
Admira,Ried,1,0
Austria Vienna,Altach,1,3
Salzburg,Mattersburg,1,0
St. Polten,Sturm Graz,2,1
Sturm Graz,Altach,3,0
Wolfsberger AC,Admira,1,1
Mattersburg,St. Polten,1,0
Ried,Austria Vienna,0,3
Rapid Vienna,Salzburg,0,1
St. Polten,Ried,1,0
Admira,Salzburg,1,1
Altach,Mattersburg,3,0
Austria Vienna,Wolfsberger AC,3,0
Sturm Graz,Rapid Vienna,2,1
Rapid Vienna,Mattersburg,1,1
Wolfsberger AC,St. Polten,1,0
Admira,Sturm Graz,1,0
Ried,Altach,2,0
Salzburg,Austria Vienna,5,0
St. Polten,Rapid Vienna,1,1
Austria Vienna,Admira,0,2
Mattersburg,Ried,2,1
Sturm Graz,Wolfsberger AC,4,0
Altach,Salzburg,0,5
Ried,Rapid Vienna,3,0
Wolfsberger AC,Altach,0,0
Admira,Mattersburg,0,2
Austria Vienna,St. Polten,1,2
Salzburg,Sturm Graz,1,0
Wolfsberger AC,Salzburg,0,2
Admira,St. Polten,2,0
Rapid Vienna,Altach,3,0
Sturm Graz,Ried,1,0
Mattersburg,Austria Vienna,0,3
Sturm Graz,Mattersburg,0,2
Altach,Admira,0,0
Ried,Wolfsberger AC,1,1
St. Polten,Salzburg,1,2
Rapid Vienna,Austria Vienna,0,2
Austria Vienna,Sturm Graz,4,1
Wolfsberger AC,Mattersburg,2,2
Salzburg,Ried,1,1
St. Polten,Altach,3,3
Admira,Rapid Vienna,3,2
Mattersburg,Salzburg,2,1
Rapid Vienna,Wolfsberger AC,4,0
Ried,Admira,1,0
Sturm Graz,St. Polten,3,2
Altach,Austria Vienna,1,1
Salzburg,Rapid Vienna,1,0
Admira,Wolfsberger AC,3,2
Austria Vienna,Ried,3,0
St. Polten,Mattersburg,1,0
Altach,Sturm Graz,1,2
Ried,St. Polten,1,1
Wolfsberger AC,Austria Vienna,2,1
Mattersburg,Altach,1,0
Salzburg,Admira,2,0
Rapid Vienna,Sturm Graz,1,0
Altach,Ried,0,2
Austria Vienna,Salzburg,2,3
Mattersburg,Rapid Vienna,1,3
St. Polten,Wolfsberger AC,1,1
Sturm Graz,Admira,2,1
Wolfsberger AC,Sturm Graz,1,0
Admira,Austria Vienna,1,6
Rapid Vienna,St. Polten,2,1
Ried,Mattersburg,2,3
Salzburg,Altach,1,0
Rapid Vienna,Mattersburg,2,2
Wolfsberger AC,Salzburg,0,2
LASK Linz,Admira,3,0
Altach,Austria Vienna,3,0
Sturm Graz,St. Polten,3,2
Salzburg,LASK Linz,1,1
Mattersburg,Wolfsberger AC,1,0
St. Polten,Rapid Vienna,1,4
Austria Vienna,Sturm Graz,2,3
Admira,Altach,4,1
LASK Linz,St. Polten,2,0
Salzburg,Admira,5,1
Wolfsberger AC,Altach,1,0
Rapid Vienna,Austria Vienna,2,2
Mattersburg,Sturm Graz,2,3
Altach,Salzburg,0,1
Austria Vienna,LASK Linz,2,0
St. Polten,Mattersburg,0,0
Sturm Graz,Wolfsberger AC,2,1
Admira,Rapid Vienna,3,1
Rapid Vienna,Sturm Graz,1,2
Wolfsberger AC,Admira,2,0
LASK Linz,Altach,0,0
Salzburg,St. Polten,5,1
Mattersburg,Austria Vienna,1,3
Wolfsberger AC,St. Polten,2,1
Rapid Vienna,LASK Linz,1,0
Altach,Mattersburg,1,0
Sturm Graz,Salzburg,1,0
Admira,Austria Vienna,1,3
LASK Linz,Sturm Graz,2,1
Austria Vienna,Wolfsberger AC,2,2
Mattersburg,Admira,0,5
St. Polten,Altach,1,2
Salzburg,Rapid Vienna,2,2
Altach,Rapid Vienna,2,2
Wolfsberger AC,LASK Linz,0,0
Admira,Sturm Graz,2,1
Mattersburg,Salzburg,1,2
Austria Vienna,St. Polten,5,1
Rapid Vienna,Wolfsberger AC,4,2
LASK Linz,Mattersburg,2,2
St. Polten,Admira,1,1
Sturm Graz,Altach,0,0
Salzburg,Austria Vienna,0,0
St. Polten,Sturm Graz,0,3
Admira,LASK Linz,4,2
Mattersburg,Rapid Vienna,0,1
Austria Vienna,Altach,2,0
Salzburg,Wolfsberger AC,2,1
LASK Linz,Salzburg,1,3
Wolfsberger AC,Mattersburg,2,2
Altach,Admira,2,2
Rapid Vienna,St. Polten,1,0
Sturm Graz,Austria Vienna,3,0
Sturm Graz,Mattersburg,3,2
Altach,Wolfsberger AC,3,2
St. Polten,LASK Linz,0,1
Admira,Salzburg,1,1
Austria Vienna,Rapid Vienna,0,1
Rapid Vienna,Admira,1,0
LASK Linz,Austria Vienna,2,2
Mattersburg,St. Polten,1,1
Salzburg,Altach,2,0
Wolfsberger AC,Sturm Graz,0,2
Sturm Graz,Rapid Vienna,0,0
Admira,Wolfsberger AC,0,0
Altach,LASK Linz,2,4
Austria Vienna,Mattersburg,1,3
St. Polten,Salzburg,1,3
LASK Linz,Rapid Vienna,1,2
Austria Vienna,Admira,2,3
Mattersburg,Altach,1,0
St. Polten,Wolfsberger AC,0,0
Salzburg,Sturm Graz,5,0
Sturm Graz,LASK Linz,1,0
Admira,Mattersburg,2,0
Altach,St. Polten,3,0
Wolfsberger AC,Austria Vienna,1,2
Rapid Vienna,Salzburg,2,3
Sturm Graz,Admira,6,1
LASK Linz,Wolfsberger AC,2,0
Salzburg,Mattersburg,2,0
St. Polten,Austria Vienna,1,0
Rapid Vienna,Altach,1,2
Wolfsberger AC,Rapid Vienna,0,0
Admira,St. Polten,1,0
Altach,Sturm Graz,1,2
Mattersburg,LASK Linz,1,0
Austria Vienna,Salzburg,1,1
Rapid Vienna,Mattersburg,2,2
LASK Linz,Admira,2,1
Sturm Graz,St. Polten,3,2
Altach,Austria Vienna,1,0
Wolfsberger AC,Salzburg,0,0
Salzburg,LASK Linz,0,0
Admira,Altach,3,1
Mattersburg,Wolfsberger AC,5,1
St. Polten,Rapid Vienna,0,5
Austria Vienna,Sturm Graz,1,0
Mattersburg,Sturm Graz,1,0
Wolfsberger AC,Altach,0,0
LASK Linz,St. Polten,2,1
Salzburg,Admira,2,1
Rapid Vienna,Austria Vienna,1,1
Altach,Salzburg,0,1
Austria Vienna,LASK Linz,1,3
St. Polten,Mattersburg,0,3
Sturm Graz,Wolfsberger AC,0,1
Admira,Rapid Vienna,2,1
Rapid Vienna,Sturm Graz,1,1
Wolfsberger AC,Admira,1,3
LASK Linz,Altach,2,0
Mattersburg,Austria Vienna,2,1
Salzburg,St. Polten,4,0
Admira,Austria Vienna,2,1
Wolfsberger AC,St. Polten,0,1
Altach,Mattersburg,1,1
Rapid Vienna,LASK Linz,2,0
Sturm Graz,Salzburg,2,4
LASK Linz,Sturm Graz,0,2
Austria Vienna,Wolfsberger AC,2,0
Mattersburg,Admira,3,2
St. Polten,Altach,1,2
Salzburg,Rapid Vienna,1,0
Altach,Rapid Vienna,0,0
Wolfsberger AC,LASK Linz,0,3
Admira,Sturm Graz,2,4
Austria Vienna,St. Polten,4,0
Mattersburg,Salzburg,2,2
Rapid Vienna,Wolfsberger AC,5,1
LASK Linz,Mattersburg,3,1
St. Polten,Admira,1,2
Sturm Graz,Altach,1,0
Salzburg,Austria Vienna,5,0
Admira,LASK Linz,0,1
Austria Vienna,Altach,2,1
Salzburg,Wolfsberger AC,2,0
St. Polten,Sturm Graz,1,5
Mattersburg,Rapid Vienna,2,4
Sturm Graz,Austria Vienna,0,2
Wolfsberger AC,Mattersburg,0,2
Altach,Admira,1,2
Rapid Vienna,St. Polten,2,1
LASK Linz,Salzburg,1,0
Sturm Graz,Mattersburg,3,0
Altach,Wolfsberger AC,2,1
St. Polten,LASK Linz,1,3
Austria Vienna,Rapid Vienna,0,4
Admira,Salzburg,2,6
Wolfsberger AC,Sturm Graz,2,1
LASK Linz,Austria Vienna,1,0
Mattersburg,St. Polten,1,1
Salzburg,Altach,3,1
Rapid Vienna,Admira,4,1
Austria Vienna,Mattersburg,2,3
Admira,Wolfsberger AC,4,2
Altach,LASK Linz,0,2
Sturm Graz,Rapid Vienna,4,2
St. Polten,Salzburg,0,2
LASK Linz,Rapid Vienna,0,2
Austria Vienna,Admira,0,0
Mattersburg,Altach,0,1
St. Polten,Wolfsberger AC,0,1
Salzburg,Sturm Graz,4,1
Sturm Graz,LASK Linz,3,1
Admira,Mattersburg,1,1
Altach,St. Polten,1,3
Rapid Vienna,Salzburg,1,4
Wolfsberger AC,Austria Vienna,2,1
LASK Linz,Wolfsberger AC,1,3
Rapid Vienna,Altach,4,1
Salzburg,Mattersburg,1,0
St. Polten,Austria Vienna,2,0
Sturm Graz,Admira,2,0
Wolfsberger AC,Rapid Vienna,0,0
Admira,St. Polten,0,2
Altach,Sturm Graz,0,0
Austria Vienna,Salzburg,4,0
Mattersburg,LASK Linz,2,1
Neustadt,St. Polten,0,2
St. Polten,Neustadt,1,1
Austria Vienna,Wacker Innsbruck,2,1
Altach,Mattersburg,2,3
Sturm Graz,Hartberg,3,2
Admira,Rapid Vienna,0,3
Salzburg,LASK Linz,3,1
St. Polten,Wolfsberger AC,4,3
Mattersburg,Salzburg,0,2
Rapid Vienna,Altach,1,1
Wacker Innsbruck,Sturm Graz,2,3
Wolfsberger AC,Austria Vienna,1,0
Hartberg,Admira,0,1
LASK Linz,St. Polten,0,0
Altach,Wacker Innsbruck,1,2
Hartberg,Mattersburg,4,2
Salzburg,Austria Vienna,2,0
Admira,LASK Linz,0,1
Rapid Vienna,Wolfsberger AC,0,0
St. Polten,Sturm Graz,2,0
Mattersburg,Wolfsberger AC,0,6
Salzburg,Hartberg,2,0
Wacker Innsbruck,St. Polten,0,2
Austria Vienna,Admira,4,0
LASK Linz,Rapid Vienna,2,1
Sturm Graz,Altach,1,1
Wolfsberger AC,Sturm Graz,1,1
Altach,Salzburg,2,3
St. Polten,Austria Vienna,0,0
Admira,Mattersburg,0,0
Hartberg,LASK Linz,0,1
Rapid Vienna,Wacker Innsbruck,2,1
Altach,St. Polten,1,2
Austria Vienna,Mattersburg,2,1
Wacker Innsbruck,Hartberg,2,1
LASK Linz,Wolfsberger AC,2,0
Salzburg,Admira,3,1
Sturm Graz,Rapid Vienna,1,1
Admira,Sturm Graz,2,3
Hartberg,Altach,2,1
St. Polten,Salzburg,1,3
Wolfsberger AC,Wacker Innsbruck,3,1
Mattersburg,LASK Linz,1,3
Rapid Vienna,Austria Vienna,0,1
Altach,Wolfsberger AC,0,1
St. Polten,Hartberg,3,0
Sturm Graz,Mattersburg,1,2
Austria Vienna,LASK Linz,0,3
Wacker Innsbruck,Admira,1,3
Salzburg,Rapid Vienna,2,1
Wolfsberger AC,Salzburg,1,4
Admira,Altach,2,4
Rapid Vienna,St. Polten,0,2
Hartberg,Austria Vienna,0,1
Mattersburg,Wacker Innsbruck,2,1
LASK Linz,Sturm Graz,0,0
Wolfsberger AC,Hartberg,3,4
Altach,Austria Vienna,2,0
St. Polten,Admira,0,0
Rapid Vienna,Mattersburg,1,0
Wacker Innsbruck,LASK Linz,1,0
Sturm Graz,Salzburg,1,2
Hartberg,Rapid Vienna,3,0
LASK Linz,Altach,1,1
Salzburg,Wacker Innsbruck,1,1
Admira,Wolfsberger AC,0,0
Mattersburg,St. Polten,2,0
Austria Vienna,Sturm Graz,1,1
Hartberg,Sturm Graz,2,0
Mattersburg,Altach,1,1
Wacker Innsbruck,Austria Vienna,0,0
Wolfsberger AC,St. Polten,1,0
Rapid Vienna,Admira,2,0
LASK Linz,Salzburg,3,3
Admira,Hartberg,2,3
St. Polten,LASK Linz,2,2
Sturm Graz,Wacker Innsbruck,1,1
Austria Vienna,Wolfsberger AC,2,3
Salzburg,Mattersburg,2,1
Altach,Rapid Vienna,2,2
LASK Linz,Admira,5,1
Sturm Graz,St. Polten,0,0
Wacker Innsbruck,Altach,1,0
Wolfsberger AC,Rapid Vienna,3,1
Mattersburg,Hartberg,1,2
Austria Vienna,Salzburg,0,2
Wolfsberger AC,Mattersburg,2,2
Admira,Austria Vienna,1,2
Hartberg,Salzburg,0,4
Altach,Sturm Graz,0,2
St. Polten,Wacker Innsbruck,2,0
Rapid Vienna,LASK Linz,0,1
Austria Vienna,St. Polten,2,0
LASK Linz,Hartberg,3,3
Mattersburg,Admira,2,2
Salzburg,Altach,1,0
Wacker Innsbruck,Rapid Vienna,0,1
Sturm Graz,Wolfsberger AC,3,0
Wolfsberger AC,LASK Linz,1,1
Admira,Salzburg,2,2
St. Polten,Altach,2,1
Hartberg,Wacker Innsbruck,2,2
Mattersburg,Austria Vienna,2,1
Rapid Vienna,Sturm Graz,0,0
LASK Linz,Mattersburg,2,1
Sturm Graz,Admira,3,0
Wacker Innsbruck,Wolfsberger AC,0,0
Altach,Hartberg,6,1
Salzburg,St. Polten,5,1
Austria Vienna,Rapid Vienna,6,1
LASK Linz,Austria Vienna,2,0
Wolfsberger AC,Altach,0,0
Admira,Wacker Innsbruck,3,0
Hartberg,St. Polten,1,1
Mattersburg,Sturm Graz,1,1
Rapid Vienna,Salzburg,2,0
Altach,Admira,0,1
Salzburg,Wolfsberger AC,3,0
St. Polten,Rapid Vienna,0,4
Austria Vienna,Hartberg,4,2
Sturm Graz,LASK Linz,0,3
Wacker Innsbruck,Mattersburg,0,1
Admira,St. Polten,3,2
Austria Vienna,Altach,1,3
Hartberg,Wolfsberger AC,1,1
LASK Linz,Wacker Innsbruck,2,0
Mattersburg,Rapid Vienna,2,1
Salzburg,Sturm Graz,0,0
Wolfsberger AC,Admira,2,2
Altach,LASK Linz,1,2
Rapid Vienna,Hartberg,2,2
St. Polten,Mattersburg,0,1
Sturm Graz,Austria Vienna,1,0
Wacker Innsbruck,Salzburg,0,2
Altach,Mattersburg,2,1
Hartberg,Wacker Innsbruck,0,2
Rapid Vienna,Admira,3,0
Wolfsberger AC,LASK Linz,0,3
Sturm Graz,St. Polten,0,1
Salzburg,Austria Vienna,5,1
Admira,Altach,1,1
Mattersburg,Hartberg,3,0
Wacker Innsbruck,Rapid Vienna,0,2
Austria Vienna,Sturm Graz,0,1
St. Polten,Wolfsberger AC,1,3
LASK Linz,Salzburg,0,2
Hartberg,Altach,0,1
Rapid Vienna,Mattersburg,2,1
Wacker Innsbruck,Admira,1,3
Wolfsberger AC,Austria Vienna,1,1
LASK Linz,St. Polten,0,0
Salzburg,Sturm Graz,3,1
Admira,Hartberg,2,1
Altach,Rapid Vienna,2,2
Mattersburg,Wacker Innsbruck,3,1
St. Polten,Salzburg,1,1
Sturm Graz,Wolfsberger AC,1,2
Austria Vienna,LASK Linz,2,2
Admira,Mattersburg,0,2
Hartberg,Rapid Vienna,2,4
Wacker Innsbruck,Altach,0,4
Austria Vienna,St. Polten,2,2
LASK Linz,Sturm Graz,1,2
Salzburg,Wolfsberger AC,3,1
Altach,Wacker Innsbruck,1,4
Mattersburg,Admira,1,1
Rapid Vienna,Hartberg,3,4
Wolfsberger AC,Salzburg,2,1
St. Polten,Austria Vienna,1,2
Sturm Graz,LASK Linz,2,3
Admira,Rapid Vienna,3,4
Mattersburg,Altach,0,0
Wacker Innsbruck,Hartberg,1,0
LASK Linz,Wolfsberger AC,3,0
St. Polten,Sturm Graz,0,1
Austria Vienna,Salzburg,1,2
Altach,Admira,2,2
Hartberg,Mattersburg,2,1
Rapid Vienna,Wacker Innsbruck,1,0
Wolfsberger AC,St. Polten,4,0
Sturm Graz,Austria Vienna,1,3
Salzburg,LASK Linz,2,1
Admira,Wacker Innsbruck,3,2
Altach,Hartberg,3,1
Mattersburg,Rapid Vienna,1,0
Austria Vienna,Wolfsberger AC,2,0
St. Polten,LASK Linz,0,1
Sturm Graz,Salzburg,1,2
Hartberg,Admira,3,1
Rapid Vienna,Altach,1,2
Wacker Innsbruck,Mattersburg,4,0
Wolfsberger AC,Sturm Graz,2,1
LASK Linz,Austria Vienna,5,2
Salzburg,St. Polten,7,0
Rapid Vienna,Mattersburg,2,0
Rapid Vienna,Sturm Graz,1,2
Sturm Graz,Rapid Vienna,0,1
Rapid Vienna,Salzburg,0,2
Admira,Wolfsberger AC,0,3
Tirol,Austria Vienna,3,1
LASK Linz,Altach,2,0
Mattersburg,Hartberg,2,1
Sturm Graz,St. Polten,3,0
Altach,Tirol,3,2
Austria Vienna,LASK Linz,0,3
Hartberg,Admira,4,1
Wolfsberger AC,Sturm Graz,0,1
Salzburg,Mattersburg,4,1
